SEASON,TEAM_NAME,LABEL
2021-22,Atlanta Hawks,1
2021-22,Brooklyn Nets,1
2021-22,New Orleans Pelicans,1
2021-22,Utah Jazz,1
2021-22,Charlotte Hornets,0
2021-22,Cleveland Cavaliers,0
2021-22,New York Knicks,0
2021-22,Washington Wizards,0
2021-22,Indiana Pacers,0
2021-22,Orlando Magic,0
2021-22,Detroit Pistons,0
2021-22,Houston Rockets,0
2021-22,Oklahoma City Thunder,0
2021-22,Portland Trail Blazers,0
2021-22,Los Angeles Lakers,0
2021-22,Sacramento Kings,0
2021-22,San Antonio Spurs,0
2021-22,Los Angeles Clippers,0
2022-23,Denver Nuggets,16
2022-23,Miami Heat,8
2022-23,Los Angeles Lakers,4
2022-23,Boston Celtics,4
2022-23,Philadelphia 76ers,2
2022-23,Phoenix Suns,2
2022-23,New York Knicks,2
2022-23,Golden State Warriors,2
2022-23,Sacramento Kings,1
2022-23,Cleveland Cavaliers,1
2022-23,Brooklyn Nets,1
2022-23,Atlanta Hawks,1
2022-23,Minnesota Timberwolves,1
2022-23,Milwaukee Bucks,1
2022-23,Los Angeles Clippers,1
2022-23,Memphis Grizzlies,1
2022-23,Chicago Bulls,0
2022-23,Toronto Raptors,0
2022-23,Washington Wizards,0
2022-23,Indiana Pacers,0
2022-23,Orlando Magic,0
2022-23,Charlotte Hornets,0
2022-23,Detroit Pistons,0
2022-23,Houston Rockets,0
2022-23,San Antonio Spurs,0
2022-23,Portland Trail Blazers,0
2022-23,Utah Jazz,0
2022-23,New Orleans Pelicans,0
2022-23,Oklahoma City Thunder,0
2022-23,Dallas Mavericks,0
2023-24,Boston Celtics,16
2023-24,Dallas Mavericks,8
2023-24,Indiana Pacers,4
2023-24,Minnesota Timberwolves,4
2023-24,New York Knicks,2
2023-24,Cleveland Cavaliers,2
2023-24,Oklahoma City Thunder,2
2023-24,Denver Nuggets,2
2023-24,Miami Heat,1
2023-24,Philadelphia 76ers,1
2023-24,Milwaukee Bucks,1
2023-24,Orlando Magic,1
2023-24,Los Angeles Clippers,1
2023-24,Phoenix Suns,1
2023-24,Los Angeles Lakers,1
2023-24,New Orleans Pelicans,1
2023-24,Golden State Warriors,0
2023-24,Sacramento Kings,0
2023-24,Chicago Bulls,0
2023-24,Atlanta Hawks,0
2023-24,Toronto Raptors,0
2023-24,Brooklyn Nets,0
2023-24,Charlotte Hornets,0
2023-24,Detroit Pistons,0
2023-24,Washington Wizards,0
2023-24,Utah Jazz,0
2023-24,Houston Rockets,0
2023-24,Memphis Grizzlies,0
2023-24,San Antonio Spurs,0
2023-24,Portland Trail Blazers,0
